gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
KCTD4,0.08544837,1.1936727,0.9319049400849599,1.0,1.1936727,False
ACR,0.085439906,1.4762546,0.9319116699440776,1.0,1.4762546,False
ARMC3,0.085439906,1.1579065,0.9319116699440776,1.0,1.1579065,False
RP3-477O4.14,0.08543567,1.2864302,0.9319150348754619,1.0,1.2864302,False
RP11-367N14.2,0.08543144,1.1249086,0.931918399808063,1.0,1.1249086,False
KRT13,0.08542721,1.0047096,0.9319217647418808,1.0,1.0047096,False
LY9,0.08541451,-0.9446352,0.9319318595506346,1.0,0.9446352,False
TNNI1,0.08541451,0.41397375,0.9319318595506346,1.0,0.41397375,False
RP11-316M1.12,0.085410275,-0.14941831,0.9319352244893191,1.0,0.14941831,False
RAB33A,0.085410275,0.22700661,0.9319352244893191,1.0,0.22700661,False
HNF4A-AS1,0.085160546,0.19666702,0.9321337580228406,1.0,0.19666702,False
GMPR2,0.08469283,-0.2365123,0.9325055991258883,1.0,0.2365123,False
RP11-359N11.1,0.0845087,0.06653599,0.9326519840577392,1.0,0.06653599,False
OSTC,0.08419971,-0.16794972,0.932897646645687,1.0,0.16794972,False
PDGFC,0.08406427,-0.4112533,0.9330053363717907,1.0,0.4112533,False
ADARB2,0.083801836,0.50553894,0.9332139887037577,1.0,0.50553894,False
ZNF683,0.083685435,2.024737,0.9333065375789639,1.0,2.024737,False
TEX40,0.08366004,1.8492213,0.9333267301806759,1.0,1.8492213,False
RP11-575F12.2,0.08363888,1.232571,0.9333435573815426,1.0,1.232571,False
DNMT3B,0.08362617,1.385396,0.9333536537163604,1.0,1.385396,False
RP11-474G23.2,0.08361771,1.0201846,0.9333603846121953,1.0,1.0201846,False
RP11-679B17.2,0.08361771,1.2770978,0.9333603846121953,1.0,1.2770978,False
CTD-2561B21.11,0.083605014,0.9645173,0.9333704809648811,1.0,0.9645173,False
BCL11B,0.08360078,0.38212785,0.9333738464181583,1.0,0.38212785,False
CD1C,0.08360078,1.2950819,0.9333738464181583,1.0,1.2950819,False
CLDN22,0.08360078,0.9065835,0.9333738464181583,1.0,0.9065835,False
OVGP1,0.08359655,0.24223384,0.9333772118726265,1.0,0.24223384,False
CTB-113P19.5,0.08359655,0.7427498,0.9333772118726265,1.0,0.7427498,False
LILRB4,0.08359655,0.89626384,0.9333772118726265,1.0,0.89626384,False
NHLRC4,0.08358808,0.24745552,0.9333839427851353,1.0,0.24745552,False
LINC01272,0.083452635,0.3937116,0.9334916380327015,1.0,0.3937116,False
RP11-963H4.3,0.083406076,0.2748576,0.9335286585553038,1.0,0.2748576,False
MEIOC,0.08339126,-0.11852087,0.9335404378426484,1.0,0.11852087,False
CTB-58E17.5,0.08337856,-0.91194,0.9335505343862405,1.0,0.91194,False
AP001059.5,0.08329179,0.1273342,0.9336195277201368,1.0,0.1273342,False
COL18A1-AS1,0.083158456,-0.044835664,0.9337255428389305,1.0,0.044835664,False
NGEF,0.08269286,0.27992442,0.934095763572163,1.0,0.27992442,False
TENM2,0.08187171,1.9267647,0.9347487330089067,1.0,1.9267647,False
AC004221.2,0.08184208,1.6661172,0.9347722945849931,1.0,1.6661172,False
LINC00441,0.08182938,1.5536915,0.9347823924208073,1.0,1.5536915,False
RP11-96L14.7,0.081825145,1.3807551,0.9347857583684105,1.0,1.3807551,False
CD86,0.08182091,1.6040238,0.9347891243171794,1.0,1.6040238,False
RP11-686G8.2,0.08182091,1.3371123,0.9347891243171794,1.0,1.3371123,False
CTB-131K11.1,0.08181668,1.382065,0.9347924902671141,1.0,1.382065,False
ELP4,0.08181245,-0.23769407,0.9347958562182144,1.0,0.23769407,False
VAV1,0.081803985,1.3850448,0.9348025881239117,1.0,1.3850448,False
IRF4,0.081803985,1.4504346,0.9348025881239117,1.0,1.4504346,False
RP11-136K7.2,0.08179552,1.1778133,0.9348093200342709,1.0,1.1778133,False
HDHD2,0.081793405,-0.1427795,0.9348110030125891,1.0,0.1427795,False
LINC00239,0.081778586,0.77342355,0.9348227838689732,1.0,0.77342355,False
RP11-236L14.1,0.081774354,0.6174258,0.9348261498305618,1.0,0.6174258,False
PRH1,0.0816897,0.36000282,0.9348934693069146,1.0,0.36000282,False
HARBI1,0.08152886,0.1403888,0.9350213775941629,1.0,0.1403888,False
SLC30A4,0.08152886,-0.15894115,0.9350213775941629,1.0,0.15894115,False
GNA14,0.0814823,0.15381405,0.9350584039905059,1.0,0.15381405,False
TOMM22,0.08126008,-0.16021864,0.9352351228158778,1.0,0.16021864,False
C10orf126,0.08114579,0.2316833,0.9353260080263456,1.0,0.2316833,False
CCDC6,0.080946855,-0.2710738,0.9354842176248087,1.0,0.2710738,False
TAF9,0.080079146,-0.20436324,0.9361743104764639,1.0,0.20436324,False
TMPPE,0.08006644,1.959697,0.9361844097535147,1.0,1.959697,False
TMEM110-MUSTN1,0.080024116,1.6589442,0.9362180740844988,1.0,1.6589442,False
RP11-396O20.1,0.08001142,1.5250075,0.9362281734060321,1.0,1.5250075,False
DDX11-AS1,0.08000719,1.4729153,0.9362315398488237,1.0,1.4729153,False
LINC01230,0.07997756,1.2930629,0.9362551049802816,1.0,1.2930629,False
RP11-643M14.1,0.079973325,0.89075863,0.9362584714321918,1.0,0.89075863,False
RP11-539L10.2,0.079973325,1.2318488,0.9362584714321918,1.0,1.2318488,False
P2RY13,0.07996909,1.3281024,0.9362618378852414,1.0,1.3281024,False
BAALC-AS1,0.07996909,1.110279,0.9362618378852414,1.0,1.110279,False
MS4A1,0.07996063,0.6199336,0.9362685707947592,1.0,0.6199336,False
EPHA6,0.07996063,0.9109732,0.9362685707947592,1.0,0.9109732,False
ADORA3,0.07995216,0.61693996,0.9362753037088345,1.0,0.61693996,False
DHRS11,0.07993735,-0.12963094,0.9362870863194316,1.0,0.12963094,False
NCS1,0.0799183,-0.21574529,0.9363022354107018,1.0,0.21574529,False
SLX1B,0.079018846,-0.9556005,0.9370176353254429,1.0,0.9556005,False
MTFP1,0.07866329,-0.031302072,0.9373004427581664,1.0,0.031302072,False
MRRF,0.07849398,-0.13055874,0.9374351157465199,1.0,0.13055874,False
RSG1,0.07820616,0.32913902,0.9376640639322241,1.0,0.32913902,False
IGSF23,0.07817653,1.3092574,0.9376876324206979,1.0,1.3092574,False
CAMK4,0.078168064,1.1908526,0.9376943662845755,1.0,1.1908526,False
FSTL4,0.078168064,0.6643485,0.9376943662845755,1.0,0.6643485,False
RP11-524F11.2,0.07815536,1.2413114,0.9377044670887468,1.0,1.2413114,False
RP11-90P5.2,0.07815536,1.0099243,0.9377044670887468,1.0,1.0099243,False
